"Časová značka","Please upload the `eyeshop.log` file that was saved to your Downloads folder","Have you filled out the main questionnaire before playing the game?","When playing, I felt just the right amount of challenge","My thoughts ran fluidly and smoothly","I didn't notice time passing","I had no difficulty concentrating","My mind was completely clear","I was totally absorbed in what I was doing","The right thoughts occured of their own accord","I knew what I should do each step of the way","I felt that I had everything under control","I was completely lost in thought","I was worried about giving wrong answers","I cared about giving the best answer I could"
"2026/01/27 6:10:17 odp. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1bZvjqNMzh77Z_SkZuXozenRsYuR1J6hF","I haven't - I am going to fill it","5","3","4","2","3","3","4","4","3","4","4","4"
"2026/01/28 8:39:34 odp. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1-72ItI3fcj-ZtecW4A3WMau4eBDXryvh","I haven't - I am going to fill it","2","4","1","4","4","2","4","2","3","2","1","4"
"2026/01/29 12:34:17 dop. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1eHN7EpdQFvKlbokDtyCQWNxyw-kMYlgP","I haven't - I am going to fill it","1","4","3","3","4","4","3","4","3","4","1","3"
"2026/01/29 2:58:36 odp. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1MuN1-VZz3VXgusp7gm_K70h_l0LAA4ov","I haven't - I am going to fill it","3","4","4","5","3","5","3","5","4","4","4","5"
"2026/01/29 3:35:03 odp. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1g1Lp4UfcI7rpAnFLUIHCqCOYJnZDbOLA","I haven't - I am going to fill it","1","2","2","4","2","4","5","3","2","2","2","4"
"2026/01/30 12:46:04 dop. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=15mxvfN6foWOGgb6ybqJuvBwdFn5Kc-jz","I haven't - I am going to fill it","1","3","2","2","3","3","2","1","2","3","4","5"
"2026/01/30 9:50:08 dop. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1MDLWtpM_JLF_RrSa0cCnbz_8SVYfwoH-","I haven't - I am going to fill it","1","2","1","3","2","2","3","4","2","2","4","4"
"2026/01/30 7:46:58 odp. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=15CZvJXy6F8rKj2U_-dXbLY0uEmGlBeBO","I have","3","3","2","3","2","2","3","2","2","3","4","2"
"2026/02/02 10:07:21 dop. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1-m64xmlCZmzBiH3ZRIMQDr8nmitvhZK4","I haven't - I am going to fill it","1","4","3","4","5","4","3","5","5","2","1","2"
"2026/02/03 5:36:36 odp. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1nTVyeszMnYzq5ckQXejKnmSQpgL6NW57","I have","2","4","3","4","3","2","3","1","4","2","2","3"
"2026/02/04 12:27:16 dop. SEČ","https://drive.google.com/u/0/open?usp=forms_web&id=1DKtj1GLXDN19BeIVi2tezCdOfTrU7XgF","I have","1","4","4","4","2","4","4","2","3","4","5","4"
